Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,
,,,,,,,,,,,,
Inst #,School Name,Final 2015 Decile,"Final 2015 
Step","July 2014 Funding roll
Years 9+","July 2014 Funding roll
Total ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,Māori Electorate
1340,Leigh School,7,O,0,60,Contributing,State,Auckland- Rodney,Auckland Region,Auckland North,Rodney,Te Tai Tokerau
3411,Leithfield School,8,P,0,98,Full Primary,State,Hurunui District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
2182,Lepperton School,9,Q,0,161,Contributing,State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
2886,Levin East School,2,D,0,401,Contributing,State,Horowhenua District,Manawatu-Wanganui Region,Wellington,Otaki,Te Tai Hauauru
2887,Levin Intermediate,2,E,0,231,Intermediate,State,Horowhenua District,Manawatu-Wanganui Region,Wellington,Otaki,Te Tai Hauauru
2888,Levin North School,3,G,0,272,Contributing,State,Horowhenua District,Manawatu-Wanganui Region,Wellington,Otaki,Te Tai Hauauru
2889,Levin School,1,C,0,139,Contributing,State,Horowhenua District,Manawatu-Wanganui Region,Wellington,Otaki,Te Tai Hauauru
4117,Liberton Christian School,7,O,0,87,Full Primary,State: Integrated,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
1790,Lichfield School,5,M,0,79,Contributing,State,South Waikato District,Waikato Region,Hamilton,Taupo,Te Tai Hauauru
3975,Limehills School,10,Z,0,177,Full Primary,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
1341,Lincoln Heights School,2,F,0,412,Full Primary,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Upper Harbour,Te Tai Tokerau
347,Lincoln High School,10,Z,1453,1453,Secondary (Year 9-15),State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
3412,Lincoln Primary School,10,Z,0,438,Full Primary,State,Selwyn District,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
2890,Linden School,4,J,0,93,Contributing,State,Wellington City,Wellington Region,Wellington,Mana,Te Tai Hauauru
230,Lindisfarne College,9,Q,418,482,Secondary (Year 7-15),State: Integrated,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2891,Linkwater School,7,O,0,30,Full Primary,State,Marlborough District,Marlborough Region,Nelson,Kaikoura,Te Tai Tonga
2386,Linton Camp School,10,Z,0,126,Full Primary,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2387,Linton Country School,6,N,0,16,Full Primary,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3413,Linwood Avenue School,2,E,0,311,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
337,Linwood College,3,H,604,714,Secondary (Year 7-15),State,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
3415,Linwood North School,2,F,0,190,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
46,Liston College,5,M,574,783,Secondary (Year 7-15),State: Integrated,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
3418,Little River School,9,Q,0,101,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Selwyn,Te Tai Tonga
3419,Loburn School,9,Q,0,182,Full Primary,State,Waimakariri District,Canterbury Region,Christchurch,Kaikoura,Te Tai Tonga
3977,Lochiel School,10,Z,0,57,Full Primary,State,Southland District,Southland Region,Invercargill,Invercargill,Te Tai Tonga
376,Logan Park High School,7,O,555,555,Secondary (Year 9-15),State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
27,Long Bay College,10,Z,1663,1663,Secondary (Year 9-15),State,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,East Coast Bays,Te Tai Tokerau
1342,Long Bay School,10,Z,0,308,Contributing,State,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,East Coast Bays,Te Tai Tokerau
3594,Longbeach School,9,Q,0,144,Full Primary,State,Ashburton District,Canterbury Region,Christchurch,Rangitata,Te Tai Tonga
191,Longburn Adventist College,5,M,194,244,Secondary (Year 7-15),State: Integrated,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2388,Longburn School,4,J,0,88,Full Primary,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3979,Longford Intermediate,4,L,0,167,Intermediate,State,Gore District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
3200,Lower Moutere School,5,M,0,144,Full Primary,State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
2590,Lucknow School,5,M,0,293,Contributing,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
3980,Lumsden School,8,P,0,90,Contributing,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
2892,Lyall Bay School,7,O,0,438,Contributing,State,Wellington City,Wellington Region,Wellington,Rongotai,Te Tai Tonga
75,Lynfield College,6,N,1838,1838,Secondary (Year 9-15),State,Auckland- Puketapapa,Auckland Region,Auckland South,New Lynn,Tamaki Makaurau
1791,Lynmore Primary School,9,Q,0,664,Contributing,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
3422,Lynton Downs School,6,N,0,14,Contributing,State,Kaikoura District,Canterbury Region,Nelson,Kaikoura,Te Tai Tonga
686,Lyttelton Primary School,9,Q,0,239,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
208,Lytton High School,3,G,629,629,Secondary (Year 9-15),State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
2389,Lytton Street School,4,J,0,408,Contributing,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
3762,Macandrew Bay School,10,Z,0,173,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
353,Mackenzie College,8,P,145,201,Secondary (Year 7-15),State,Mackenzie District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
41,Macleans College,9,Q,2258,2258,Secondary (Year 9-15),State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
1388,Macleans Primary School,7,O,0,290,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Pakuranga,Tamaki Makaurau
3764,Macraes Moonlight School,10,Z,0,12,Full Primary,State,Waitaki District,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
1792,Maeroa Intermediate,3,I,0,589,Intermediate,State,Hamilton City,Waikato Region,Hamilton,Hamilton West,Hauraki-Waikato
3201,Mahana School,9,Q,0,68,Full Primary,State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
3765,Maheno School,6,N,0,48,Full Primary,State,Waitaki District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
2872,Mahinawa Specialist School and Resource Centre,5,M,28,63,Special School,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
2592,Mahora School,3,I,0,352,Contributing,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
1156,Mahurangi Christian School,6,N,0,58,Full Primary,State: Integrated,Auckland- Rodney,Auckland Region,Auckland North,Rodney,Te Tai Tokerau
24,Mahurangi College,7,O,913,1293,Secondary (Year 7-15),State,Auckland- Rodney,Auckland Region,Auckland North,Rodney,Te Tai Tokerau
2893,Maidstone Intermediate,6,N,0,543,Intermediate,State,Upper Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
1793,Maihiihi School,9,Q,0,57,Full Primary,State,Otorohanga District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
1343,Mairangi Bay School,10,Z,0,449,Contributing,State,Auckland- Hibiscus and Bays,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
320,Mairehau High School,4,K,372,372,Secondary (Year 9-15),State,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
3425,Mairehau School,6,N,0,420,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
3202,Maitai School,7,O,16,30,Special School,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
2185,Makahu School,8,P,0,18,Full Primary,State,Stratford District,Taranaki Region,Whanganui,Taranaki-King Country,Te Tai Hauauru
2894,Makara Model School,10,Z,0,20,Full Primary,State,Wellington City,Wellington Region,Wellington,Wellington Central,Te Tai Tonga
2593,Makaraka School,5,M,0,116,Contributing,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
3982,Makarewa School,9,Q,0,140,Contributing,State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
2594,Makarika School,1,C,0,28,Full Primary,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
3767,Makarora Primary School,7,O,0,17,Full Primary,State,Queenstown-Lakes District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
2595,Makauri School,8,P,0,188,Contributing,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
1794,Maketu School,1,C,0,76,Contributing,State,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
3426,Makikihi School,6,N,0,30,Full Primary,State,Waimate District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
243,Makoura College,3,G,249,249,Secondary (Year 9-15),State,Masterton District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
2895,Makuri School,6,N,0,6,Full Primary,State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
1796,Malfroy School,2,F,0,323,Contributing,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
1797,Mamaku School,3,I,0,124,Full Primary,State,Rotorua District,Bay of Plenty Region,Rotorua,Rotorua,Waiariki
254,Mana College,3,G,368,368,Secondary (Year 9-15),State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
465,Mana Tamariki,5,M,8,48,Composite (Year 1-15),State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
2097,Manaia School (Taranaki),3,G,0,106,Full Primary,State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
1648,Manaia View School,1,A,0,210,Full Primary,State,Whangarei District,Northland Region,Whangarei,Whangarei,Te Tai Tokerau
2896,Manakau School,6,N,0,91,Full Primary,State,Horowhenua District,Manawatu-Wanganui Region,Wellington,Otaki,Te Tai Hauauru
1800,Manawaru School,6,N,0,89,Full Primary,State,Matamata-Piako District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
205,Manawatu College,2,F,291,291,Secondary (Year 9-15),State,Horowhenua District,Manawatu-Wanganui Region,Wellington,Otaki,Te Tai Hauauru
2390,Manchester Street School,6,N,0,396,Contributing,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
18,Mangakahia Area School,3,H,56,140,Composite (Year 1-15),State,Whangarei District,Northland Region,Whangarei,Northland,Te Tai Tokerau
329,Mangakino Area School,1,A,23,92,Composite (Year 1-15),State,Taupo District,Waikato Region,Rotorua,Taupo,Te Tai Hauauru
2391,Mangamahu Primary School,3,G,0,12,Full Primary,State,Wanganui District,Manawatu-Wanganui Region,Whanganui,Whanganui,Te Tai Hauauru
2897,Mangamaire Country School,7,O,0,28,Full Primary,State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
1037,Mangamuka School,1,A,0,15,Contributing,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2596,Mangaorapa School,4,K,0,14,Full Primary,State,Central Hawke's Bay District,Hawkes Bay Region,Napier,Wairarapa,Ikaroa-Rawhiti
2597,Mangapapa School,5,M,0,522,Contributing,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
2899,Mangaroa School,10,Z,0,112,Contributing,State,Upper Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
2900,Mangatainoka School,4,J,0,67,Full Primary,State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
1344,Mangatangi School,7,O,0,91,Full Primary,State,Waikato District,Waikato Region,Hamilton,Coromandel,Hauraki-Waikato
1345,Mangatawhiri School,7,O,0,121,Full Primary,State,Waikato District,Waikato Region,Auckland South,Waikato,Hauraki-Waikato
2599,Mangateretere School,2,E,0,42,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2392,Mangaweka School,6,N,0,28,Full Primary,State,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
1038,Mangawhai Beach School,6,N,0,338,Full Primary,State,Kaipara District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1346,Mangere Bridge School,3,I,0,368,Contributing,State,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
1347,Mangere Central School,1,B,0,456,Full Primary,State,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
91,Mangere College,1,B,703,703,Secondary (Year 9-15),State,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
1348,Mangere East School,1,B,0,484,Contributing,State,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
1039,Mangonui School,3,I,0,165,Contributing,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2189,Mangorei School,10,Z,0,262,Full Primary,State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
370,Maniototo Area School,8,P,46,166,Composite (Year 1-15),State,Central Otago District,Otago Region,Dunedin,Waitaki,Te Tai Tonga
1422,Mansell Senior School,1,A,0,130,Intermediate,State,Auckland- Papakura,Auckland Region,Auckland South,Papakura,Hauraki-Waikato
1350,Manuka Primary School,6,N,0,266,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Upper Harbour,Te Tai Tokerau
2190,Manukorihi Intermediate,3,G,0,168,Intermediate,State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
2393,Manunui School,2,D,0,71,Full Primary,State,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Rangitikei,Te Tai Hauauru
1354,Manurewa Central School,2,E,0,553,Contributing,State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
1352,Manurewa East School,1,B,0,374,Contributing,State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
99,Manurewa High School,1,C,1694,1694,Secondary (Year 9-15),State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
1353,Manurewa Intermediate,1,B,0,664,Intermediate,State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
1355,Manurewa South School,1,C,0,298,Contributing,State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
1356,Manurewa West School,1,C,0,450,Contributing,State,Auckland- Manurewa,Auckland Region,Auckland South,Manurewa,Tamaki Makaurau
2602,Manutuke School,3,G,0,118,Full Primary,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
3768,Maori Hill School,10,Z,0,243,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
2902,Maoribank School,3,H,0,80,Contributing,State,Upper Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
1805,Mapiu School,5,M,0,9,Full Primary,State,Waitomo District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
3203,Mapua School,10,Z,0,286,Full Primary,State,Tasman District,Tasman Region,Nelson,West Coast-Tasman,Te Tai Tonga
566,Maraekakaho School,8,P,0,151,Full Primary,State,Hastings District,Hawkes Bay Region,Napier,Tukituki,Ikaroa-Rawhiti
2604,Maraenui Bilingual School (Napier),1,A,0,183,Full Primary,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
2903,Maraeroa School,1,C,0,134,Contributing,State,Porirua City,Wellington Region,Wellington,Mana,Te Tai Hauauru
1357,Maraetai Beach School,10,Z,0,243,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
1358,Maramarua School,5,M,0,40,Full Primary,State,Waikato District,Waikato Region,Hamilton,Waikato,Hauraki-Waikato
1179,Maranatha Christian School,7,O,0,107,Full Primary,State: Integrated,Lower Hutt City,Wellington Region,Wellington,Hutt South,Ikaroa-Rawhiti
3984,Mararoa School,10,Z,0,48,Full Primary,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
63,Marcellin College,2,F,522,628,Secondary (Year 7-15),State: Integrated,Auckland- Puketapapa,Auckland Region,Auckland South,Mt Roskill,Tamaki Makaurau
2191,Marco School,9,Q,0,14,Full Primary,State,Stratford District,Manawatu-Wanganui Region,Whanganui,Taranaki-King Country,Te Tai Hauauru
2606,Marewa School,1,B,0,181,Contributing,State,Napier City,Hawkes Bay Region,Napier,Napier,Ikaroa-Rawhiti
2192,Marfell School,2,E,0,92,Contributing,State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
2094,Marian Catholic School (Hamilton),7,O,0,598,Full Primary,State: Integrated,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
343,Marian College,8,P,421,421,Secondary (Year 9-15),State: Integrated,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
1592,Marina View School,8,P,0,679,Full Primary,State,Auckland- Upper Harbour,Auckland Region,Auckland North,Upper Harbour,Te Tai Tokerau
1360,Marist Catholic School (Herne Bay),9,Q,0,193,Contributing,State: Integrated,Auckland- Waitemata,Auckland Region,Auckland South,Auckland Central,Tamaki Makaurau
70,Marist College,7,O,537,742,Secondary (Year 7-15),State: Integrated,Auckland- Albert-Eden,Auckland Region,Auckland South,Mt Albert,Tamaki Makaurau
1359,Marist School (Mt Albert),8,P,0,271,Contributing,State: Integrated,Auckland- Albert-Eden,Auckland Region,Auckland South,Mt Albert,Tamaki Makaurau
288,Marlborough Boys' College,6,N,901,901,Secondary (Year 9-15),State,Marlborough District,Marlborough Region,Nelson,Kaikoura,Te Tai Tonga
289,Marlborough Girls' College,7,O,965,965,Secondary (Year 9-15),State,Marlborough District,Marlborough Region,Nelson,Kaikoura,Te Tai Tonga
1361,Marlborough School,7,O,0,261,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
2102,Maromaku School,3,I,0,57,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1808,Marotiri School,6,N,0,107,Full Primary,State,Taupo District,Waikato Region,Rotorua,Taupo,Te Tai Hauauru
1362,Marshall Laing School,5,M,0,512,Contributing,State,Auckland- Puketapapa,Auckland Region,Auckland South,New Lynn,Tamaki Makaurau
3429,Marshland School,9,Q,0,227,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
2906,Martinborough School,8,P,0,246,Full Primary,State,South Wairarapa District,Wellington Region,Wellington,Wairarapa,Ikaroa-Rawhiti
2396,Marton Junction School,2,E,0,77,Full Primary,State,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
2397,Marton School,3,H,0,141,Full Primary,State,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
